cell_id,n,deviation,leak_strict,leak_loose,self_leak,other_leak
base_filler_none,280,0.021428571428571463,0.02142857142857143,0.02142857142857143,0.02142857142857143,0.0
incong_imp_none,1400,0.00928571428571423,0.002142857142857143,0.002142857142857143,0.002142857142857143,0.0
away_imp_none,1400,0.0050000000000000044,0.0,0.0,0.0,0.0
away_imp_morph,1120,0.002678571428571419,0.0008928571428571428,0.0008928571428571428,0.0008928571428571428,0.0
nonce_imp_none,840,0.0023809523809523725,0.002380952380952381,0.002380952380952381,0.002380952380952381,0.0
output_imp_syn,560,0.0017857142857142794,0.0,0.0,0.0,0.0
focus_imp_syn,1120,0.0008928571428571397,0.0,0.0,0.0,0.0
relevance_decl_none,840,0.0,0.0,0.0,0.0,0.0
relevance_decl_morph,840,0.0,0.0,0.0,0.0,0.0
nonce_imp_syn,840,0.0,0.0,0.0,0.0,0.0
nonce_decl_none,840,0.0,0.0,0.0,0.0,0.0
mental_imp_syn,840,0.0,0.0,0.0,0.0,0.0
incong_imp_syn,1400,0.0,0.0,0.0,0.0,0.0
focus_imp_both,1120,0.0,0.0,0.0,0.0,0.0
focus_imp_none,560,0.0,0.0,0.0,0.0,0.0
focus_decl_syn,840,0.0,0.0,0.0,0.0,0.0
focus_decl_none,840,0.0,0.0,0.0,0.0,0.0
focus_decl_both,840,0.0,0.0,0.0,0.0,0.0
floor_control,280,0.0,0.0,0.0,0.0,0.0
base_filler_detached,280,0.0,0.0,0.0,0.0,0.0
base_filler_adjacent,280,0.0,0.0,0.0,0.0,0.0
base_bare_syn,280,0.0,0.0,0.0,0.0,0.0
base_bare_none,280,0.0,0.0,0.0,0.0,0.0
base_absent,7,0.0,0.0,0.0,0.0,0.0
relevance_decl_syn,560,0.0,0.0,0.0,0.0,0.0
