carrier,Algorithms,Amphitheaters,Aquariums,Avalanches,Bags,Blood,Boulders,Bread,Cameras,Caverns,Constellations,Contraptions,Denim,Deserts,Dirigibles,Dust,Dynasties,Fountains,Frosts,Harmonies,Illusions,Information,Kaleidoscopes,Lightning,Masquerades,Memories,Milk,Mirrors,Monoliths,Oceans,Origami,Peace,Phones,Plastic,Poetry,Quarries,Rubber,Sadness,Satellites,Secrecy,Silver,Snow,Sugar,Treasures,Trees,Trumpets,Vegetables,Volcanoes,Xylophones,Youths
Autumn leaves crunched beneath their feet.,0.311,-1.571,-0.619,0.215,0.603,-1.003,-0.604,0.015,-0.57,-0.028,1.171,-1.711,0.697,1.614,-0.877,0.277,-0.549,0.492,1.796,0.134,-0.63,-1.531,-0.14,-0.177,-0.112,0.253,-1.229,-0.047,-1.926,1.305,0.935,-0.565,-0.17,-0.146,0.741,-0.19,-0.647,0.563,-0.095,-0.495,-1.614,2.634,-0.314,-0.242,2.406,0.303,1.499,0.739,-0.962,0.064
Bees buzzed around the flowering cherry tree.,0.656,-1.686,-0.881,-1.244,-0.328,0.347,-0.351,-0.122,0.535,-1.044,-0.51,-1.902,-0.228,0.308,-1.801,-0.306,-0.675,0.094,-0.741,-0.879,0.126,1.101,-1.194,0.012,-1.224,1.705,0.213,0.858,-1.573,1.16,0.408,1.367,1.075,0.679,1.105,-0.161,-0.761,1.089,0.858,0.16,-0.686,-0.039,0.631,0.852,2.564,-0.847,1.159,1.082,-1.363,0.401
Children built sandcastles at the water's edge.,-0.608,1.568,0.9,1.066,0.058,0.188,0.869,-0.126,-0.912,1.146,-0.399,1.823,-0.214,-0.715,1.491,0.619,0.722,0.289,1.21,0.583,-0.088,-0.805,1.226,-0.195,1.39,-1.778,0.302,-1.119,1.621,-0.783,-0.721,-1.015,-1.388,-0.452,-1.649,0.472,0.974,-1.749,-1.069,-0.661,0.563,0.457,-0.135,-0.668,-1.556,0.28,-1.249,-1.24,1.215,0.261
Children laughed as they ran through the sprinkler.,0.979,-1.512,-0.937,-1.139,-0.174,0.436,-0.586,-0.099,0.77,-0.981,-0.1,-1.758,-0.132,0.444,-1.96,-0.366,-0.51,-0.07,-1.034,-0.905,0.398,1.273,-1.141,-0.101,-1.29,2.035,-0.054,1.035,-1.667,1.031,0.62,1.168,1.3,0.69,1.174,-0.617,-0.705,1.567,0.655,0.365,-0.726,0.091,0.355,1.105,1.111,-0.924,1.215,0.923,-1.607,0.354
Fireflies flickered in the summer twilight.,0.553,-1.417,-1.224,-1.612,-0.533,0.271,-0.22,-0.505,0.751,-0.682,0.953,-1.677,0.006,0.906,-1.458,-0.206,-0.435,-0.116,-0.123,-0.817,0.307,0.839,-0.58,1.615,-0.974,2.045,-0.702,1.04,-1.687,1.037,0.316,0.843,1.009,0.397,0.882,-0.857,-1.297,1.487,0.675,0.514,-1.067,-0.027,-0.186,0.828,1.642,-1.138,1.131,0.613,-1.719,0.598
Fog shrouded the valley below the mountain.,0.243,-1.45,-1.509,-0.476,-0.569,0.057,-0.284,-0.169,0.22,-0.568,0.376,-1.995,-0.27,1.352,-1.7,-0.157,-0.627,-0.495,-0.258,-1.001,0.353,0.448,-1.214,0.089,-1.353,1.532,-0.338,1.06,-1.336,1.189,0.533,1.251,0.873,0.503,1.501,-0.103,-0.997,1.837,0.364,0.966,-0.753,0.601,0.353,0.58,1.502,-0.724,0.92,1.779,-1.917,-0.219
Fragrant lilacs bloomed along the garden fence.,-0.893,1.217,0.888,0.931,-0.041,-0.3,0.7,-0.057,-0.962,0.547,-0.187,1.558,0.1,-0.52,1.959,0.032,0.727,1.347,1.158,1.028,-0.282,-0.749,1.307,-0.356,1.518,-1.643,0.223,-1.17,1.58,-0.825,-0.984,-1.049,-1.783,-0.537,-1.345,0.66,0.743,-1.697,-0.869,-0.395,0.598,-0.196,-0.476,-1.039,-0.654,0.686,-1.024,-1.188,1.632,0.084
Fresh bread was baking in the oven.,0.466,-0.632,-0.595,-1.0,0.549,0.61,-0.302,4.654,0.673,-0.451,-1.525,-0.871,-0.243,-1.143,-1.396,-0.187,-0.297,-0.548,-0.493,-0.585,0.191,1.695,-1.132,-0.745,-0.911,1.182,0.753,0.214,-0.645,0.108,-0.316,0.925,0.876,0.702,0.541,-0.377,0.282,0.119,0.034,0.326,-0.408,0.033,0.549,1.148,-0.269,-1.561,0.628,-0.121,-0.903,0.397
He assembled the furniture without reading the instructions.,-0.863,1.374,0.938,1.03,0.08,-0.323,0.624,-0.023,-0.856,0.908,0.122,1.95,0.191,-0.671,1.838,0.45,0.643,0.22,0.874,0.842,-0.308,-1.095,1.218,-0.103,1.28,-2.027,0.146,-1.2,1.689,-1.18,-0.254,-1.061,-1.166,-0.569,-1.22,0.524,0.689,-1.585,-0.665,-0.362,0.672,-0.371,-0.347,-1.171,-1.27,1.058,-1.154,-1.116,1.65,-0.053
He couldn't remember where he had parked his car.,-0.827,1.423,0.818,1.135,0.237,-0.197,0.756,-0.126,-0.804,0.914,-0.215,1.867,0.077,-0.807,1.916,0.35,0.547,0.227,1.101,0.747,-0.184,-1.078,0.999,-0.092,1.447,-1.623,0.307,-1.246,1.678,-1.12,-0.742,-1.141,-1.256,-0.477,-1.415,0.546,0.895,-1.649,-0.879,-0.457,0.8,-0.193,-0.235,-0.734,-1.369,0.856,-1.167,-1.164,1.538,0.015
He repaired the leaky faucet with a new washer.,0.022,0.776,0.98,-0.572,0.641,0.518,0.919,-1.055,1.021,-0.163,-1.124,1.573,0.865,-1.705,0.535,0.275,0.505,1.971,0.262,0.476,0.241,0.747,-0.151,-0.994,0.629,-1.079,-0.439,-0.536,0.738,-1.706,-0.853,-0.191,0.206,1.366,-1.094,0.077,2.703,-1.144,-0.494,0.435,0.747,-1.562,0.344,-0.645,-2.382,-0.217,-0.894,-0.991,0.363,0.057
He sketched the landscape with charcoal pencils.,0.565,0.738,0.112,-0.482,-0.444,0.28,0.695,-0.265,2.688,-1.214,-0.027,0.95,0.525,0.178,0.24,-0.088,-0.247,-0.766,-0.56,1.864,0.478,-1.25,1.071,-1.164,-0.089,0.03,-0.592,-1.04,0.081,-1.007,2.165,-0.48,0.078,-1.831,0.364,0.189,1.273,0.302,-0.781,-0.728,1.407,-2.286,0.632,-1.337,0.882,0.5,-0.062,-0.71,0.871,-1.71
His favorite ice cream flavor was mint chocolate chip.,-1.089,1.35,0.911,1.113,0.087,-0.5,0.272,0.336,-0.814,0.78,0.038,1.512,0.624,-0.254,1.977,0.297,0.461,0.356,0.965,0.742,-0.365,-1.538,1.329,0.116,1.269,-2.117,0.698,-1.145,1.421,-1.06,-0.327,-1.177,-1.439,-0.685,-1.189,0.595,0.711,-1.336,-0.886,-0.598,0.525,0.058,-0.227,-1.252,-1.164,1.187,-0.887,-0.872,1.642,-0.45
Lightning flashed across the night sky.,-1.161,1.109,0.709,1.025,-0.033,-0.262,0.578,-0.06,-0.984,0.912,0.213,1.429,0.122,-0.463,1.692,0.271,0.299,0.306,1.28,0.727,-0.271,-1.162,1.121,2.266,1.218,-1.965,0.218,-1.098,1.515,-1.1,-0.866,-1.085,-1.507,-0.77,-1.224,0.681,0.684,-1.495,-0.638,-0.333,0.658,0.16,-0.392,-1.036,-1.134,0.704,-1.215,-0.785,1.265,-0.123
"Mountains loomed in the distance, covered with snow.",0.857,-1.212,-1.18,-0.478,-0.349,0.837,0.048,-0.475,0.239,-0.658,-0.697,-1.585,-0.295,0.359,-1.818,0.222,-0.329,-1.094,0.069,-0.762,0.342,1.769,-1.516,-0.28,-1.402,1.708,0.009,0.715,-0.79,0.953,-0.374,1.323,0.918,0.499,0.236,-0.717,-0.561,0.745,0.538,0.32,-0.661,2.391,0.621,1.072,1.237,-1.775,0.797,1.269,-1.684,0.602
Rain pattered softly against the windowpane.,-0.847,-1.144,1.186,1.126,-1.048,-1.174,-0.434,0.248,-0.24,0.229,0.41,-0.259,0.316,0.012,0.167,0.082,-1.17,0.969,1.294,0.132,-0.228,-1.247,0.775,1.032,-0.048,-1.363,0.129,1.458,0.644,0.033,-0.845,-0.382,-0.941,0.217,0.623,0.483,0.626,0.702,-0.268,0.427,-0.135,3.647,-0.11,-2.497,-0.359,-0.25,-1.285,-0.413,1.315,-1.593
She collected seashells every summer at the beach.,-1.145,1.623,1.045,1.077,0.26,-0.542,1.049,-0.461,-0.797,1.28,0.181,1.794,-0.038,-0.042,1.925,0.375,0.689,0.212,0.689,0.313,-0.662,-1.612,1.505,0.251,1.38,-1.549,-0.089,-1.166,1.479,-0.005,-0.776,-1.534,-1.255,-0.496,-1.355,0.659,0.519,-1.495,-0.922,-0.627,0.654,-0.256,-0.515,-0.405,-1.197,0.978,-1.033,-0.866,1.193,-0.291
She planted herbs in pots on the kitchen windowsill.,-0.644,1.393,1.272,0.998,0.436,-0.344,1.037,-0.042,-0.738,0.965,-0.058,1.912,0.017,-0.689,1.716,0.338,0.686,0.563,1.196,1.033,-0.33,-0.921,0.903,-0.31,1.18,-1.901,0.117,-1.116,1.661,-1.147,-0.931,-1.28,-1.309,-0.619,-1.512,0.484,0.982,-1.674,-0.713,-0.518,0.62,-0.363,-0.597,-0.834,-1.033,0.597,-0.61,-1.156,1.447,-0.163
She practiced piano for three hours every day.,-0.798,1.439,0.907,1.042,0.186,-0.253,0.629,-0.005,-0.764,0.998,-0.199,1.87,-0.033,-0.766,1.823,0.402,0.607,0.27,0.978,0.937,-0.241,-1.06,1.048,-0.032,1.351,-1.946,0.146,-1.186,1.651,-1.146,-0.692,-1.09,-1.26,-0.623,-1.222,0.47,0.861,-1.567,-0.756,-0.385,0.728,-0.191,-0.275,-1.043,-1.283,0.977,-1.148,-1.118,1.699,0.062
She solved the crossword puzzle in record time.,-0.731,1.407,0.901,1.115,0.123,-0.365,0.556,-0.002,-0.806,0.989,-0.006,1.784,0.049,-0.516,1.91,0.33,0.546,0.312,0.976,0.862,-0.142,-1.266,1.27,0.059,1.359,-2.021,0.117,-1.108,1.653,-1.147,-0.412,-1.172,-1.308,-0.741,-1.224,0.544,0.709,-1.54,-0.803,-0.26,0.639,-0.282,-0.329,-1.04,-1.261,0.966,-1.221,-1.008,1.638,-0.105
She tied her hiking boots with double knots.,1.625,-0.673,-0.753,0.114,1.584,1.086,-0.401,0.475,0.863,0.184,-1.752,-1.337,2.021,-0.787,-1.324,0.126,-1.304,-1.67,-1.659,-0.192,0.478,1.462,-1.059,-0.497,-0.533,1.717,-0.598,0.503,-0.795,-0.276,0.689,1.199,1.072,0.447,0.117,0.28,1.106,0.913,-0.773,0.541,0.245,-0.63,-0.874,0.555,-0.61,-1.383,0.387,0.712,-1.456,0.831
She wrapped the birthday present with blue ribbon.,0.29,-1.519,-1.214,-0.618,0.225,0.2,-0.903,0.055,0.588,-0.887,0.135,-1.548,0.982,0.813,-1.671,-0.718,-0.896,-0.512,-1.571,-0.851,-0.107,0.628,-0.604,-0.195,-0.83,1.474,-0.001,1.246,-1.883,0.827,2.33,0.361,0.992,1.22,1.258,-0.473,-1.116,1.93,0.568,1.306,-0.018,-0.363,0.315,1.127,0.48,-0.43,0.569,0.835,-1.236,-0.591
Snowflakes drifted lazily from the gray sky.,-0.396,-0.462,-0.683,1.13,-0.86,-0.302,-0.058,-0.238,-0.624,-0.487,0.398,-0.758,-0.542,-0.273,-0.238,0.46,-0.045,-0.516,1.936,-0.003,-0.244,-0.272,0.537,0.295,-0.089,0.149,0.225,-0.124,-0.03,-0.327,-0.515,-0.065,-0.228,-0.326,-0.492,-0.694,-0.295,0.256,0.885,-0.476,-0.121,6.012,0.153,-0.643,0.078,-0.473,-0.274,-0.046,-0.224,-0.072
