carrier,Algorithms,Amphitheaters,Aquariums,Avalanches,Bags,Blood,Boulders,Bread,Cameras,Caverns,Constellations,Contraptions,Denim,Deserts,Dirigibles,Dust,Dynasties,Fountains,Frosts,Harmonies,Illusions,Information,Kaleidoscopes,Lightning,Masquerades,Memories,Milk,Mirrors,Monoliths,Oceans,Origami,Peace,Phones,Plastic,Poetry,Quarries,Rubber,Sadness,Satellites,Secrecy,Silver,Snow,Sugar,Treasures,Trees,Trumpets,Vegetables,Volcanoes,Xylophones,Youths
Autumn leaves crunched beneath their feet.,0.65,-1.519,-1.464,-1.065,0.281,-0.425,-0.726,-0.288,0.59,-0.859,1.505,-1.9,0.128,1.225,-1.321,0.1,-0.21,0.055,-0.074,-0.447,-0.21,-0.359,-0.493,0.13,-1.081,1.305,-0.877,0.901,-1.761,1.161,0.583,0.425,0.974,0.361,1.231,-0.628,-0.986,1.16,0.802,0.134,-1.683,1.179,-0.371,0.852,2.22,-0.408,1.476,1.079,-1.506,0.153
Bees buzzed around the flowering cherry tree.,0.836,-1.695,-1.041,-1.635,-0.233,-0.146,-0.019,-0.072,0.797,-1.095,0.16,-1.642,-0.37,0.45,-1.612,-0.196,-0.456,0.459,-0.92,-0.439,0.471,0.794,-0.949,0.103,-1.234,1.445,-0.099,0.645,-1.551,1.182,-0.006,1.266,1.166,0.523,1.073,-0.244,-1.117,0.906,1.093,0.522,-1.142,-0.232,0.352,1.086,2.568,-0.829,1.258,1.046,-1.521,0.296
Children built sandcastles at the water's edge.,-0.924,1.463,1.184,1.357,0.171,0.45,0.751,0.054,-0.95,1.118,-0.854,1.618,-0.146,-0.762,1.417,0.489,0.445,0.058,1.298,0.363,-0.571,-0.611,0.94,-0.309,1.202,-1.537,0.427,-1.212,1.581,-1.018,-0.693,-0.997,-1.292,-0.405,-1.525,0.552,1.201,-1.53,-1.119,-0.628,1.055,0.552,0.102,-1.033,-1.34,0.307,-1.236,-1.214,1.438,0.314
Children laughed as they ran through the sprinkler.,1.084,-1.453,-1.17,-1.531,-0.153,-0.174,-0.559,-0.22,0.924,-0.973,0.55,-1.56,-0.093,0.561,-1.652,-0.39,-0.29,0.145,-1.251,-0.497,0.729,0.896,-0.935,0.062,-1.055,1.71,-0.262,1.097,-1.6,1.133,0.472,1.117,1.306,0.537,1.286,-0.589,-1.123,1.426,0.959,0.524,-1.234,-0.361,-0.036,1.382,1.195,-0.685,1.219,0.99,-1.628,0.17
Fireflies flickered in the summer twilight.,0.861,-1.299,-1.295,-1.527,-0.396,-0.257,-0.344,-0.532,0.606,-0.914,1.156,-1.625,-0.081,0.734,-1.457,-0.193,-0.267,0.165,-0.802,-0.571,0.524,0.647,-0.721,0.918,-0.858,1.771,-0.689,1.111,-1.619,1.089,0.258,1.036,1.216,0.288,1.121,-0.752,-1.427,1.41,1.095,0.7,-1.199,-0.32,-0.231,1.287,1.495,-0.865,1.176,0.957,-1.643,0.266
Fog shrouded the valley below the mountain.,-0.181,-1.262,-1.809,-0.442,-1.046,-0.655,-0.241,-0.339,-0.141,-0.213,0.978,-1.927,-0.06,1.988,-1.223,-0.171,-0.56,0.213,-0.207,-0.822,0.295,-0.265,-0.951,0.485,-1.262,1.045,-0.381,1.03,-1.374,1.291,0.515,0.933,0.449,0.207,1.591,0.56,-1.204,1.693,0.425,1.003,-0.932,0.571,0.137,0.567,1.54,-0.385,0.818,2.074,-1.748,-0.606
Fragrant lilacs bloomed along the garden fence.,-1.101,1.302,1.124,1.405,-0.089,0.203,0.84,0.29,-1.147,0.836,-0.482,1.443,0.177,-0.524,1.556,0.349,0.302,0.655,1.435,0.55,-0.636,-0.653,1.086,-0.327,1.28,-1.555,0.298,-1.284,1.517,-1.037,-0.811,-1.039,-1.607,-0.62,-1.465,0.708,0.897,-1.517,-1.143,-0.572,1.09,0.415,-0.163,-1.307,-0.746,0.386,-0.94,-1.109,1.63,0.1
Fresh bread was baking in the oven.,-0.322,0.678,0.514,0.191,0.539,0.664,0.732,3.994,-0.188,0.643,-2.137,0.978,-0.089,-1.913,0.358,0.282,0.527,-0.496,0.844,0.322,-0.182,0.737,0.167,-0.994,0.801,-0.659,1.045,-1.007,1.007,-0.995,-1.212,-0.165,-0.458,0.067,-1.139,0.123,1.104,-1.357,-0.817,-0.105,0.328,0.114,0.424,0.359,-1.408,-1.199,-0.588,-1.187,0.505,0.573
He assembled the furniture without reading the instructions.,-1.025,1.387,1.171,1.47,0.145,0.227,0.543,0.152,-0.924,0.926,-0.624,1.656,0.102,-0.762,1.587,0.434,0.393,-0.049,1.181,0.466,-0.669,-0.797,0.972,-0.154,1.11,-1.698,0.31,-1.146,1.611,-1.229,-0.323,-1.062,-1.243,-0.445,-1.335,0.508,1.099,-1.45,-1.01,-0.436,1.178,0.219,0.05,-1.385,-1.304,0.725,-1.165,-1.155,1.637,0.131
He couldn't remember where he had parked his car.,-0.999,1.326,1.04,1.468,0.272,0.472,0.631,0.049,-0.881,0.836,-0.868,1.737,-0.033,-0.947,1.66,0.393,0.356,-0.153,1.335,0.3,-0.515,-0.638,0.732,-0.35,1.222,-1.187,0.547,-1.187,1.596,-1.17,-0.801,-1.023,-1.162,-0.347,-1.454,0.391,1.34,-1.443,-1.082,-0.541,1.224,0.339,0.03,-1.033,-1.392,0.57,-1.217,-1.303,1.548,0.311
