concept,number,BE,DO,BELONG,forms
dust,mass,is,does,belongs,dust
satellites,plural,are,do,belong,satellites|satellite
trumpets,plural,are,do,belong,trumpets|trumpet
origami,mass,is,does,belongs,origami
illusions,plural,are,do,belong,illusions|illusion
cameras,plural,are,do,belong,cameras|camera
lightning,mass,is,does,belongs,lightning
constellations,plural,are,do,belong,constellations|constellation
treasures,plural,are,do,belong,treasures|treasure
phones,plural,are,do,belong,phones|phone
trees,plural,are,do,belong,trees|tree
avalanches,plural,are,do,belong,avalanches|avalanche
mirrors,plural,are,do,belong,mirrors|mirror
fountains,plural,are,do,belong,fountains|fountain
quarries,plural,are,do,belong,quarries|quarry
sadness,mass,is,does,belongs,sadness
xylophones,plural,are,do,belong,xylophones|xylophone
secrecy,mass,is,does,belongs,secrecy
oceans,plural,are,do,belong,oceans|ocean
information,mass,is,does,belongs,information
deserts,plural,are,do,belong,deserts|desert
kaleidoscopes,plural,are,do,belong,kaleidoscopes|kaleidoscope
sugar,mass,is,does,belongs,sugar
vegetables,plural,are,do,belong,vegetables|vegetable
poetry,mass,is,does,belongs,poetry
aquariums,plural,are,do,belong,aquariums|aquarium
bags,plural,are,do,belong,bags|bag
peace,mass,is,does,belongs,peace
caverns,plural,are,do,belong,caverns|cavern
memories,plural,are,do,belong,memories|memory
frosts,plural,are,do,belong,frosts|frost
volcanoes,plural,are,do,belong,volcanoes|volcano
boulders,plural,are,do,belong,boulders|boulder
harmonies,plural,are,do,belong,harmonies|harmony
masquerades,plural,are,do,belong,masquerades|masquerade
rubber,mass,is,does,belongs,rubber
plastic,mass,is,does,belongs,plastic
blood,mass,is,does,belongs,blood
amphitheaters,plural,are,do,belong,amphitheaters|amphitheater
contraptions,plural,are,do,belong,contraptions|contraption
youths,plural,are,do,belong,youths|youth
dynasties,plural,are,do,belong,dynasties|dynasty
snow,mass,is,does,belongs,snow
dirigibles,plural,are,do,belong,dirigibles|dirigible
algorithms,plural,are,do,belong,algorithms|algorithm
denim,mass,is,does,belongs,denim
monoliths,plural,are,do,belong,monoliths|monolith
milk,mass,is,does,belongs,milk
bread,mass,is,does,belongs,bread
silver,mass,is,does,belongs,silver
